amd,rcm,padding,matrix_name,partial_gauss,gauss_threshold,_step,n,rank,_runtime,z_reduced,z_full,max_mode_size,tile_size,_timestamp,run_id,run_name
True,False,6,ex3,64,0.001,0.0,1763.0,343.0,4.4953601360321045,52461.0,45119.0,43.0,41.0,1719245584.430788,y7b0117t,stilted-sweep-102
True,False,6,ex3,64,0.001,1.0,1763.0,327.0,4.597074270248413,52461.0,45119.0,43.0,43.0,1719245584.5325022,y7b0117t,stilted-sweep-102
True,False,6,ex3,64,0.001,2.0,1763.0,1.0,4.662738800048828,52461.0,45119.0,1763.0,1763.0,1719245584.5981667,y7b0117t,stilted-sweep-102
True,True,3,ex10,64,0.001,0.0,2349.0,12018.0,7.682685852050781,54264.0,43018.0,29.0,3.0,1719245977.37547,ovlxi2v3,treasured-sweep-229
True,True,3,ex10,64,0.001,1.0,2349.0,2691.0,8.005652904510498,54264.0,43018.0,29.0,9.0,1719245977.698437,ovlxi2v3,treasured-sweep-229
True,True,3,ex10,64,0.001,2.0,2349.0,611.0,8.117607831954956,54264.0,43018.0,29.0,27.0,1719245977.810392,ovlxi2v3,treasured-sweep-229
True,True,3,ex10,64,0.001,3.0,2349.0,549.0,8.228656530380249,54264.0,43018.0,29.0,29.0,1719245977.9214406,ovlxi2v3,treasured-sweep-229
True,True,3,ex10,64,0.001,4.0,2349.0,119.0,8.3159339427948,54264.0,43018.0,81.0,81.0,1719245978.008718,ovlxi2v3,treasured-sweep-229
True,True,3,ex10,64,0.001,5.0,2349.0,103.0,8.40744948387146,54264.0,43018.0,87.0,87.0,1719245978.1002336,ovlxi2v3,treasured-sweep-229
True,True,3,ex10,64,0.001,6.0,2349.0,25.0,8.477768421173096,54264.0,43018.0,261.0,261.0,1719245978.1705525,ovlxi2v3,treasured-sweep-229
True,True,3,ex10,64,0.001,7.0,2349.0,7.0,8.553934812545776,54264.0,43018.0,783.0,783.0,1719245978.246719,ovlxi2v3,treasured-sweep-229
True,True,3,ex10,64,0.001,8.0,2349.0,1.0,8.67362928390503,54264.0,43018.0,2349.0,2349.0,1719245978.3664134,ovlxi2v3,treasured-sweep-229
True,True,1,ex10hs,1536,0.001,0.0,1013.0,1.0,82.00018095970154,31446.0,39475.0,1013.0,1013.0,1719246592.343487,z401xjx1,noble-sweep-383
True,True,0,ex13,512,0.001,0.0,2056.0,17540.0,40.3782525062561,67148.0,71468.0,257.0,2.0,1719247114.4379725,wi45u9p2,morning-sweep-539
True,True,0,ex13,512,0.001,1.0,2056.0,6486.0,41.10443592071533,67148.0,71468.0,257.0,4.0,1719247115.164156,wi45u9p2,morning-sweep-539
True,True,0,ex13,512,0.001,2.0,2056.0,2813.0,41.407371520996094,67148.0,71468.0,257.0,8.0,1719247115.4670916,wi45u9p2,morning-sweep-539
True,True,0,ex13,512,0.001,3.0,2056.0,22.0,41.49538993835449,67148.0,71468.0,257.0,257.0,1719247115.55511,wi45u9p2,morning-sweep-539
True,True,0,ex13,512,0.001,4.0,2056.0,10.0,41.54891490936279,67148.0,71468.0,514.0,514.0,1719247115.608635,wi45u9p2,morning-sweep-539
True,True,0,ex13,512,0.001,5.0,2056.0,4.0,41.61746525764465,67148.0,71468.0,1028.0,1028.0,1719247115.6771853,wi45u9p2,morning-sweep-539
True,True,0,ex13,512,0.001,6.0,2056.0,1.0,41.683493852615356,67148.0,71468.0,2056.0,2056.0,1719247115.743214,wi45u9p2,morning-sweep-539
False,False,10,ex13,1024,0.001,0.0,1554.0,14966.0,49.70342421531677,46396.0,58588.0,37.0,2.0,1719250317.8655121,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,1.0,1554.0,9397.0,50.14380931854248,46396.0,58588.0,37.0,3.0,1719250318.3058972,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,2.0,1554.0,3538.0,50.37906455993652,46396.0,58588.0,37.0,6.0,1719250318.5411525,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,3.0,1554.0,2891.0,50.53575658798218,46396.0,58588.0,37.0,7.0,1719250318.6978445,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,4.0,1554.0,1031.0,50.61487030982971,46396.0,58588.0,37.0,14.0,1719250318.7769582,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,5.0,1554.0,616.0,50.662102699279785,46396.0,58588.0,37.0,21.0,1719250318.8241906,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,6.0,1554.0,276.0,50.69334936141968,46396.0,58588.0,37.0,37.0,1719250318.8554373,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,7.0,1554.0,225.0,50.74526643753052,46396.0,58588.0,42.0,42.0,1719250318.9073544,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,8.0,1554.0,95.0,50.77195191383362,46396.0,58588.0,74.0,74.0,1719250318.9340398,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,9.0,1554.0,48.0,50.818827629089355,46396.0,58588.0,111.0,111.0,1719250318.9809155,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,10.0,1554.0,19.0,50.8505334854126,46396.0,58588.0,222.0,222.0,1719250319.0126214,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,11.0,1554.0,16.0,50.88184714317322,46396.0,58588.0,259.0,259.0,1719250319.043935,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,12.0,1554.0,7.0,50.91306710243225,46396.0,58588.0,518.0,518.0,1719250319.075155,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,13.0,1554.0,4.0,50.94584012031555,46396.0,58588.0,777.0,777.0,1719250319.107928,wcewm1rm,fragrant-sweep-1582
False,False,10,ex13,1024,0.001,14.0,1554.0,1.0,50.976025104522705,46396.0,58588.0,1554.0,1554.0,1719250319.138113,wcewm1rm,fragrant-sweep-1582
True,False,2,ex10hs,32,0.001,0.0,2518.0,19412.0,6.288299798965454,57140.0,42734.0,1259.0,2.0,1719246536.4936247,a904zgnj,fallen-sweep-388
True,False,2,ex10hs,32,0.001,1.0,2518.0,4.0,6.359439134597778,57140.0,42734.0,1259.0,1259.0,1719246536.564764,a904zgnj,fallen-sweep-388
True,False,2,ex10hs,32,0.001,2.0,2518.0,1.0,6.4279046058654785,57140.0,42734.0,2518.0,2518.0,1719246536.6332295,a904zgnj,fallen-sweep-388
False,False,2,bcsstk13,16,0.001,0.0,1989.0,20263.0,3.5235283374786377,84339.0,71131.0,17.0,3.0,1719250363.3497684,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,1.0,1989.0,4475.0,3.8530936241149902,84339.0,71131.0,17.0,9.0,1719250363.6793337,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,2.0,1989.0,2721.0,4.057163715362549,84339.0,71131.0,17.0,13.0,1719250363.8834038,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,3.0,1989.0,1877.0,4.214301586151123,84339.0,71131.0,17.0,17.0,1719250364.0405416,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,4.0,1989.0,609.0,4.3085267543792725,84339.0,71131.0,39.0,39.0,1719250364.1347668,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,5.0,1989.0,411.0,4.38668966293335,84339.0,71131.0,51.0,51.0,1719250364.2129297,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,6.0,1989.0,123.0,4.449662446975708,84339.0,71131.0,117.0,117.0,1719250364.2759025,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,7.0,1989.0,89.0,4.512594223022461,84339.0,71131.0,153.0,153.0,1719250364.3388343,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,8.0,1989.0,51.0,4.562407732009888,84339.0,71131.0,221.0,221.0,1719250364.3886478,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,9.0,1989.0,9.0,4.625351667404175,84339.0,71131.0,663.0,663.0,1719250364.4515917,ly5f76lm,proud-sweep-1618
False,False,2,bcsstk13,16,0.001,10.0,1989.0,1.0,4.6878581047058105,84339.0,71131.0,1989.0,1989.0,1719250364.5140982,ly5f76lm,proud-sweep-1618
False,True,3,bcsstk13,1024,0.001,0.0,982.0,38914.0,24.36946940422058,120571.0,342067.0,491.0,2.0,1719250438.7113664,h6bsk8ji,atomic-sweep-1645
False,True,3,bcsstk13,1024,0.001,1.0,982.0,4.0,24.385132789611816,120571.0,342067.0,491.0,491.0,1719250438.7270298,h6bsk8ji,atomic-sweep-1645
False,True,3,bcsstk13,1024,0.001,2.0,982.0,1.0,24.400757789611816,120571.0,342067.0,982.0,982.0,1719250438.7426548,h6bsk8ji,atomic-sweep-1645
False,False,0,bcsstk13,32,0.001,0.0,1971.0,20047.0,3.504749059677124,85423.0,73125.0,73.0,3.0,1719250288.457616,ppb1r73r,stellar-sweep-1588
False,False,0,bcsstk13,32,0.001,1.0,1971.0,4425.0,3.677483558654785,85423.0,73125.0,73.0,9.0,1719250288.6303506,ppb1r73r,stellar-sweep-1588
False,False,0,bcsstk13,32,0.001,2.0,1971.0,981.0,3.740002393722534,85423.0,73125.0,73.0,27.0,1719250288.6928694,ppb1r73r,stellar-sweep-1588
False,False,0,bcsstk13,32,0.001,3.0,1971.0,243.0,3.802978038787842,85423.0,73125.0,73.0,73.0,1719250288.755845,ppb1r73r,stellar-sweep-1588
False,False,0,bcsstk13,32,0.001,4.0,1971.0,49.0,3.8342180252075195,85423.0,73125.0,219.0,219.0,1719250288.787085,ppb1r73r,stellar-sweep-1588
False,False,0,bcsstk13,32,0.001,5.0,1971.0,9.0,3.881532669067383,85423.0,73125.0,657.0,657.0,1719250288.8343997,ppb1r73r,stellar-sweep-1588
False,False,0,bcsstk13,32,0.001,6.0,1971.0,1.0,3.9284474849700928,85423.0,73125.0,1971.0,1971.0,1719250288.8813145,ppb1r73r,stellar-sweep-1588
False,False,3,bcsstk13,1536,0.001,0.0,470.0,25964.0,31.06258225440979,71713.0,431173.0,47.0,2.0,1719250458.3626223,c8hjw678,astral-sweep-1648
False,False,3,bcsstk13,1536,0.001,1.0,470.0,6606.0,31.149770975112915,71713.0,431173.0,47.0,5.0,1719250458.449811,c8hjw678,astral-sweep-1648
False,False,3,bcsstk13,1536,0.001,2.0,470.0,2107.0,31.17244005203247,71713.0,431173.0,47.0,10.0,1719250458.47248,c8hjw678,astral-sweep-1648
False,False,3,bcsstk13,1536,0.001,3.0,470.0,100.0,31.188069581985474,71713.0,431173.0,47.0,47.0,1719250458.4881096,c8hjw678,astral-sweep-1648
False,False,3,bcsstk13,1536,0.001,4.0,470.0,25.0,31.188069581985474,71713.0,431173.0,94.0,94.0,1719250458.4881096,c8hjw678,astral-sweep-1648
False,False,3,bcsstk13,1536,0.001,5.0,470.0,4.0,31.203697443008423,71713.0,431173.0,235.0,235.0,1719250458.5037374,c8hjw678,astral-sweep-1648
False,False,3,bcsstk13,1536,0.001,6.0,470.0,1.0,31.203697443008423,71713.0,431173.0,470.0,470.0,1719250458.5037374,c8hjw678,astral-sweep-1648
True,False,0,ex10hs,16,0.001,0.0,2532.0,19528.0,5.524878740310669,57302.0,42819.0,211.0,2.0,1719246399.8907428,8gcv1nhw,gallant-sweep-354
True,False,0,ex10hs,16,0.001,1.0,2532.0,13350.0,7.013205051422119,57302.0,42819.0,211.0,3.0,1719246401.379069,8gcv1nhw,gallant-sweep-354
True,False,0,ex10hs,16,0.001,2.0,2532.0,8385.0,8.590754747390747,57302.0,42819.0,211.0,4.0,1719246402.9566188,8gcv1nhw,gallant-sweep-354
True,False,0,ex10hs,16,0.001,3.0,2532.0,5068.0,9.252472162246704,57302.0,42819.0,211.0,6.0,1719246403.6183362,8gcv1nhw,gallant-sweep-354
True,False,0,ex10hs,16,0.001,4.0,2532.0,2095.0,9.543633222579956,57302.0,42819.0,211.0,12.0,1719246403.9094973,8gcv1nhw,gallant-sweep-354
True,False,0,ex10hs,16,0.001,5.0,2532.0,56.0,9.6116201877594,57302.0,42819.0,211.0,211.0,1719246403.9774842,8gcv1nhw,gallant-sweep-354
True,False,0,ex10hs,16,0.001,6.0,2532.0,24.0,9.672633647918701,57302.0,42819.0,422.0,422.0,1719246404.0384977,8gcv1nhw,gallant-sweep-354
True,False,0,ex10hs,16,0.001,7.0,2532.0,12.0,9.757193803787231,57302.0,42819.0,633.0,633.0,1719246404.1230578,8gcv1nhw,gallant-sweep-354
