amd,rcm,padding,matrix_name,partial_gauss,rank,tile_size,max_mode_size,z,n,_runtime,_timestamp,_step,run_id,run_name
False,False,10,bcsstk13,7,4.0,1003.0,1003.0,75290.0,2006.0,2.8077638149261475,1718630783.493147,5.0,wzmk6fie,balmy-sweep-3382
False,False,10,bcsstk13,7,1.0,2006.0,2006.0,75290.0,2006.0,2.8398234844207764,1718630783.5252066,6.0,wzmk6fie,balmy-sweep-3382
False,True,10,bcsstk13,7,52032.0,2.0,59.0,75290.0,2006.0,1.6037216186523438,1718630778.6910245,0.0,515sigys,autumn-sweep-3381
False,True,10,bcsstk13,7,6598.0,17.0,59.0,75290.0,2006.0,1.668405532836914,1718630778.7557085,1.0,515sigys,autumn-sweep-3381
False,True,10,bcsstk13,7,2589.0,34.0,59.0,75290.0,2006.0,1.6991550922393799,1718630778.786458,2.0,515sigys,autumn-sweep-3381
False,True,10,bcsstk13,7,1022.0,59.0,59.0,75290.0,2006.0,1.7182960510253906,1718630778.805599,3.0,515sigys,autumn-sweep-3381
False,True,10,bcsstk13,7,289.0,118.0,118.0,75290.0,2006.0,1.7453360557556152,1718630778.832639,4.0,515sigys,autumn-sweep-3381
False,True,10,bcsstk13,7,4.0,1003.0,1003.0,75290.0,2006.0,1.7623884677886963,1718630778.8496914,5.0,515sigys,autumn-sweep-3381
False,True,10,bcsstk13,7,1.0,2006.0,2006.0,75290.0,2006.0,1.781984567642212,1718630778.8692875,6.0,515sigys,autumn-sweep-3381
False,False,10,bcsstk13,6,18778.0,3.0,223.0,74877.0,2007.0,1.7892167568206787,1718630774.8201587,0.0,fdz05ltm,toasty-sweep-3380
False,False,10,bcsstk13,6,4230.0,9.0,223.0,74877.0,2007.0,1.889005184173584,1718630774.9199471,1.0,fdz05ltm,toasty-sweep-3380
False,False,10,bcsstk13,6,53.0,223.0,223.0,74877.0,2007.0,1.9105806350708008,1718630774.9415226,2.0,fdz05ltm,toasty-sweep-3380
False,False,10,bcsstk13,6,9.0,669.0,669.0,74877.0,2007.0,1.9407217502593994,1718630774.9716637,3.0,fdz05ltm,toasty-sweep-3380
False,False,10,bcsstk13,6,1.0,2007.0,2007.0,74877.0,2007.0,1.9617688655853271,1718630774.9927108,4.0,fdz05ltm,toasty-sweep-3380
False,True,10,bcsstk13,6,35772.0,3.0,223.0,74877.0,2007.0,1.856407642364502,1718630774.5137637,0.0,pvoazcyy,devout-sweep-3379
False,True,10,bcsstk13,6,13270.0,9.0,223.0,74877.0,2007.0,1.9850292205810547,1718630774.6423852,1.0,pvoazcyy,devout-sweep-3379
